# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = stan_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = .input.data.R
# init = 2 (Default)
# random
#   seed = 1460155656
# output
#   file = stan_out_sampling1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha,delta,dx,t.1,t.2,t.3,t.4,t.5,t.6,t.7,t.8,t.9,t.10,t.11,t.12,t.13,t.14,t.15,t.16,t.17,t.18,t.19,t.20,t.21,t.22,t.23,t.24,t.25,t.26,t.27,t.28,t.29,t.30,t.31,t.32,t.33,t.34,t.35,t.36,t.37,t.38,t.39,t.40,t.41,t.42,t.43,t.44,t.45,t.46,t.47,t.48,t.49,t.50,t.51,t.52,t.53,t.54,t.55,t.56,t.57,t.58,t.59,t.60,t.61,t.62,t.63,t.64,t.65,t.66,t.67,t.68,t.69,t.70,t.71,t.72,t.73,t.74,t.75,t.76,t.77,t.78,t.79,t.80,t.81,t.82,t.83,t.84,t.85,t.86,t.87,t.88,t.89,t.90,t.91,t.92,t.93,t.94,t.95,t.96,t.97,t.98,t.99,t.100
51.833,0.992771,0.448786,3,7,0,0.972942,0.0684914,0.0770838,0.340088,0.451024,0.5497,0.629638,0.685401,0.713185,0.711301,0.680547,0.624383,0.548889,0.462469,0.375284,0.298433,0.242924,0.218515,0.232549,0.288911,0.387284,0.522811,0.686283,0.864868,1.04335,1.20575,1.33711,1.42524,1.46221,1.44529,1.37725,1.26607,1.12391,0.965599,0.806887,0.662603,0.545013,0.462556,0.419106,0.413798,0.441396,0.493113,0.557753,0.622991,0.676673,0.707973,0.708339,0.672154,0.59711,0.484293,0.338021,0.165448,-0.0240074,-0.219386,-0.409031,-0.581499,-0.7265,-0.835793,-0.903969,-0.929045,-0.912779,-0.860665,-0.781564,-0.68699,-0.59008,-0.504364,-0.442434,-0.41466,-0.428092,-0.48567,-0.585841,-0.72261,-0.886055,-1.06322,-1.23935,-1.39924,-1.52871,-1.61593,-1.65254,-1.63445,-1.56225,-1.44116,-1.28057,-1.09322,-0.894061,-0.69883,-0.522633,-0.378497,-0.276118,-0.220899,-0.213402,-0.249274,-0.31968,-0.412214,-0.512206,-0.604282,-0.674012,-0.709443,-0.702347,-0.649023,-0.550568,-0.412598,-0.244466
51.6109,0.855272,0.448786,3,7,0,1.55476,0.0604798,0.0748827,0.318377,0.441228,0.548585,0.634153,0.693111,0.722482,0.721391,0.691198,0.635538,0.560257,0.47323,0.384013,0.303289,0.242072,0.210674,0.217515,0.267906,0.362982,0.499014,0.667272,0.85457,1.04449,1.21919,1.36155,1.45737,1.49727,1.47791,1.4025,1.28035,1.12557,0.955232,0.787084,0.637388,0.519014,0.440115,0.403511,0.406779,0.442978,0.501815,0.57107,0.638033,0.690801,0.719312,0.716049,0.676435,0.598956,0.485083,0.339045,0.167506,-0.0208503,-0.215832,-0.406359,-0.581217,-0.729919,-0.843633,-0.916091,-0.944379,-0.929461,-0.876361,-0.793905,-0.694023,-0.59065,-0.498335,-0.430715,-0.399033,-0.410888,-0.469355,-0.572605,-0.714039,-0.882943,-1.06556,-1.24644,-1.40997,-1.54185,-1.63035,-1.66741,-1.64924,-1.57662,-1.45475,-1.29282,-1.10318,-0.900393,-0.700009,-0.517281,-0.365848,-0.256475,-0.195954,-0.186297,-0.224318,-0.301718,-0.40572,-0.520249,-0.627563,-0.710178,-0.752847,-0.744349,-0.678819,-0.55645,-0.383445,-0.171223
51.1637,0.991474,0.448786,3,7,0,2.40902,0.0640006,0.0865931,0.309648,0.439507,0.552688,0.642523,0.703674,0.732715,0.728619,0.693082,0.630637,0.548509,0.456186,0.364723,0.285793,0.230583,0.208612,0.226625,0.287674,0.39054,0.529584,0.695081,0.874048,1.0515,1.21196,1.34116,1.42759,1.46378,1.44721,1.3805,1.27119,1.13081,0.973557,0.814695,0.668835,0.548372,0.462205,0.414903,0.406387,0.432125,0.4838,0.550342,0.619173,0.677551,0.713839,0.718605,0.685451,0.611532,0.497741,0.34856,0.171635,-0.0229058,-0.223317,-0.417217,-0.592623,-0.738972,-0.848027,-0.914636,-0.93724,-0.918091,-0.863145,-0.781621,-0.685232,-0.587163,-0.500866,-0.438783,-0.411125,-0.424828,-0.482789,-0.58349,-0.72103,-0.885589,-1.06429,-1.24236,-1.40451,-1.53635,-1.62577,-1.66412,-1.647,-1.57481,-1.45265,-1.28997,-1.09967,-0.896971,-0.697944,-0.518061,-0.370712,-0.265928,-0.20942,-0.202013,-0.23956,-0.313333,-0.410875,-0.517215,-0.616339,-0.692756,-0.733002,-0.726925,-0.668623,-0.556931,-0.395438,-0.192026
51.8629,0.980949,0.448786,4,15,0,1.44492,0.0662627,0.0743419,0.323107,0.442915,0.548169,0.632494,0.690904,0.720217,0.719352,0.689503,0.634197,0.559242,0.472529,0.383659,0.303362,0.242665,0.21185,0.219258,0.270084,0.365339,0.501196,0.668883,0.855245,1.04397,1.2174,1.35862,1.45363,1.49319,1.47403,1.39934,1.27832,1.12488,0.95587,0.78883,0.639858,0.521736,0.442623,0.40542,0.407847,0.44313,0.501137,0.569767,0.636373,0.689052,0.717688,0.714682,0.675364,0.598146,0.484458,0.338527,0.167053,-0.0212236,-0.216052,-0.406311,-0.580778,-0.728996,-0.842197,-0.914207,-0.942204,-0.92723,-0.874349,-0.792383,-0.693204,-0.59065,-0.499147,-0.432207,-0.400971,-0.412971,-0.471271,-0.574077,-0.714872,-0.883045,-1.06494,-1.24521,-1.40829,-1.53989,-1.62826,-1.6653,-1.64717,-1.57461,-1.45281,-1.29099,-1.10157,-0.899171,-0.699391,-0.517498,-0.367078,-0.258769,-0.199176,-0.190087,-0.228101,-0.304771,-0.407286,-0.519696,-0.624555,-0.70484,-0.745878,-0.737067,-0.673117,-0.554658,-0.388107,-0.184832
52.0014,0.998716,0.448786,3,7,0,1.20049,0.0648696,0.0725245,0.326693,0.444481,0.548122,0.63119,0.688693,0.717488,0.716543,0.687076,0.632575,0.558724,0.47321,0.385393,0.305769,0.245207,0.213947,0.220428,0.270056,0.36412,0.499069,0.666325,0.852806,1.04213,1.21644,1.35856,1.45424,1.49406,1.4747,1.3994,1.27754,1.12327,0.953671,0.786452,0.637776,0.520373,0.442243,0.406073,0.409354,0.445124,0.503148,0.571318,0.637085,0.68872,0.71632,0.71249,0.672721,0.595506,0.482264,0.337127,0.166636,-0.0206541,-0.214665,-0.404402,-0.5787,-0.727082,-0.840699,-0.913252,-0.941788,-0.927237,-0.874598,-0.792676,-0.693381,-0.59062,-0.498903,-0.431817,-0.400548,-0.41264,-0.471129,-0.574162,-0.715147,-0.883399,-1.06521,-1.2452,-1.40783,-1.53885,-1.62664,-1.66317,-1.64473,-1.57213,-1.45059,-1.28931,-1.10061,-0.899005,-0.699952,-0.518599,-0.36846,-0.26016,-0.200347,-0.190889,-0.228472,-0.30471,-0.406811,-0.5188,-0.623198,-0.70297,-0.743522,-0.73445,-0.670802,-0.553662,-0.389953,-0.191505
51.5513,0.965981,0.448786,3,7,0,1.36897,0.0592108,0.0722025,0.318919,0.44224,0.549507,0.634381,0.692238,0.720479,0.71866,0.688484,0.633718,0.560065,0.475001,0.38753,0.307784,0.246393,0.213579,0.21802,0.265572,0.358077,0.492485,0.660532,0.84915,1.04166,1.21962,1.36515,1.46332,1.50416,1.48416,1.40669,1.28154,1.12353,0.95045,0.780632,0.630651,0.513363,0.43661,0.402682,0.408547,0.446707,0.506496,0.575559,0.641313,0.692201,0.718629,0.713566,0.672831,0.595133,0.481948,0.337308,0.167525,-0.0191368,-0.212872,-0.402871,-0.578016,-0.727725,-0.842911,-0.91696,-0.946592,-0.932478,-0.87948,-0.796421,-0.695382,-0.590559,-0.496813,-0.428073,-0.395799,-0.407683,-0.466765,-0.571057,-0.713719,-0.883763,-1.06718,-1.24836,-1.41164,-1.54277,-1.63025,-1.66628,-1.64734,-1.57444,-1.45287,-1.29177,-1.10327,-0.901611,-0.701997,-0.519405,-0.367363,-0.256732,-0.194607,-0.183435,-0.220486,-0.297804,-0.402731,-0.519021,-0.628503,-0.713095,-0.756951,-0.748427,-0.68157,-0.556897,-0.381338,-0.16733
51.5752,0.997729,0.448786,2,3,0,1.33388,0.0604532,0.0709417,0.318696,0.442661,0.55019,0.634877,0.69219,0.719743,0.717361,0.686985,0.632507,0.5596,0.475551,0.389069,0.309971,0.248646,0.215235,0.21852,0.264634,0.355792,0.48931,0.657181,0.846414,1.04019,1.21978,1.36689,1.46621,1.50751,1.48715,1.40863,1.28201,1.12244,0.948075,0.77752,0.627481,0.510785,0.435097,0.402444,0.4095,0.448519,0.508674,0.577571,0.642708,0.692699,0.718172,0.712317,0.671125,0.593391,0.480581,0.336623,0.16766,-0.0182372,-0.211438,-0.401247,-0.576579,-0.726795,-0.842683,-0.917461,-0.947684,-0.933898,-0.880899,-0.797523,-0.695929,-0.590436,-0.496045,-0.426812,-0.394286,-0.406196,-0.465564,-0.570334,-0.713562,-0.884141,-1.06795,-1.24929,-1.41247,-1.54327,-1.63025,-1.66575,-1.64639,-1.57329,-1.45182,-1.29111,-1.1032,-0.902161,-0.703017,-0.520582,-0.368299,-0.257054,-0.194085,-0.182066,-0.218522,-0.295704,-0.401042,-0.518226,-0.628867,-0.714561,-0.759127,-0.750666,-0.683147,-0.55723,-0.380209,-0.165042
51.4283,0.966942,0.448786,3,7,0,0.695604,0.0721199,0.0741905,0.352099,0.456099,0.549145,0.624881,0.677912,0.704388,0.7025,0.672849,0.618634,0.545622,0.461873,0.377208,0.302425,0.248303,0.224474,0.238259,0.293632,0.390441,0.524044,0.685456,0.862049,1.03877,1.19973,1.33006,1.41758,1.45438,1.43772,1.37039,1.26034,1.11966,0.963102,0.806293,0.663881,0.547932,0.466688,0.423857,0.41847,0.44527,0.49555,0.558276,0.62136,0.67292,0.702405,0.701495,0.664737,0.589894,0.478027,0.333333,0.162781,-0.024439,-0.217605,-0.405272,-0.576165,-0.720102,-0.828887,-0.897102,-0.922707,-0.907377,-0.856506,-0.778849,-0.68581,-0.590419,-0.506101,-0.445341,-0.418411,-0.432271,-0.489798,-0.589398,-0.725085,-0.886986,-1.06225,-1.23627,-1.39401,-1.52151,-1.60713,-1.64271,-1.62429,-1.55252,-1.43264,-1.27396,-1.08907,-0.892691,-0.700308,-0.52674,-0.384732,-0.283728,-0.228933,-0.220785,-0.254903,-0.322537,-0.4115,-0.507484,-0.595629,-0.662153,-0.695854,-0.6893,-0.639547,-0.548312,-0.42159,-0.268781
51.6009,0.929583,0.448786,3,7,0,1.16334,0.0616001,0.0797459,0.331454,0.44763,0.55042,0.633273,0.690755,0.719125,0.716834,0.684887,0.62701,0.549583,0.461319,0.372652,0.294885,0.239129,0.215129,0.230101,0.287727,0.387446,0.524172,0.688522,0.867586,1.04617,1.20839,1.33943,1.42728,1.46411,1.44723,1.37939,1.26845,1.12643,0.968036,0.808915,0.663886,0.545286,0.46171,0.417232,0.411194,0.438528,0.49054,0.556021,0.622534,0.677726,0.710524,0.712124,0.6767,0.601815,0.488527,0.341227,0.16723,-0.0238302,-0.220767,-0.411719,-0.5851,-0.730547,-0.839828,-0.907608,-0.932016,-0.914941,-0.861996,-0.782134,-0.686919,-0.589508,-0.503422,-0.441233,-0.413297,-0.426662,-0.484283,-0.584634,-0.721754,-0.885743,-1.06365,-1.24067,-1.40154,-1.53199,-1.62005,-1.65727,-1.63946,-1.56713,-1.44548,-1.28396,-1.09541,-0.894863,-0.698225,-0.520736,-0.375556,-0.272486,-0.217013,-0.209752,-0.246376,-0.318041,-0.412285,-0.514312,-0.608533,-0.680193,-0.716899,-0.709883,-0.654843,-0.552282,-0.407314,-0.228975
49.9031,0.688967,0.448786,3,7,0,1.18802,0.0607275,0.0595649,0.289127,0.441262,0.568176,0.659933,0.712072,0.725812,0.706966,0.663933,0.605458,0.538891,0.469494,0.400949,0.336763,0.281887,0.243763,0.232172,0.257644,0.328767,0.449126,0.614864,0.813721,1.02604,1.22767,1.39409,1.50484,1.54711,1.51781,1.4236,1.2792,1.10442,0.92072,0.748026,0.602342,0.494348,0.428981,0.405769,0.419676,0.462196,0.522567,0.588995,0.64983,0.69461,0.714896,0.704795,0.66114,0.583349,0.473082,0.333853,0.170747,-0.00967961,-0.199368,-0.388768,-0.567092,-0.723001,-0.845755,-0.926687,-0.960711,-0.947483,-0.891896,-0.80375,-0.69663,-0.586221,-0.488403,-0.417452,-0.384589,-0.396993,-0.457257,-0.563244,-0.708253,-0.8815,-1.06893,-1.2544,-1.42124,-1.55397,-1.64015,-1.6718,-1.6463,-1.56652,-1.44007,-1.27804,-1.09345,-0.89971,-0.709624,-0.534807,-0.385552,-0.270824,-0.198026,-0.172326,-0.195489,-0.264485,-0.370359,-0.497908,-0.626647,-0.733171,-0.794674,-0.792943,-0.717947,-0.570122,-0.36075,-0.110253
51.6986,1,0.448786,2,3,0,0.839342,0.0662209,0.0642205,0.32558,0.44655,0.551756,0.633928,0.688242,0.71266,0.707807,0.676542,0.623385,0.554039,0.47511,0.394052,0.319208,0.259727,0.225145,0.224488,0.264931,0.350223,0.47925,0.645141,0.835272,1.03235,1.21649,1.36798,1.47017,1.51208,1.49002,1.40809,1.27743,1.1144,0.938108,0.76765,0.61966,0.506409,0.434711,0.40568,0.415238,0.455187,0.514609,0.581353,0.643408,0.690011,0.712434,0.704422,0.662345,0.585145,0.474179,0.333021,0.16729,-0.0155384,-0.206371,-0.394874,-0.570067,-0.721149,-0.838536,-0.914978,-0.946602,-0.933671,-0.880909,-0.797267,-0.695144,-0.589121,-0.494399,-0.42512,-0.392807,-0.405089,-0.464863,-0.56997,-0.713394,-0.883975,-1.06753,-1.2483,-1.41049,-1.53988,-1.62511,-1.65874,-1.63779,-1.56381,-1.44258,-1.2834,-1.09821,-0.900637,-0.704981,-0.525289,-0.374378,-0.26286,-0.198141,-0.183464,-0.217134,-0.292131,-0.396306,-0.513328,-0.624369,-0.710412,-0.754828,-0.74581,-0.678205,-0.554365,-0.383832,-0.181897
51.2247,0.988406,0.448786,3,7,0,0.511246,0.0630505,0.0622231,0.337894,0.449772,0.548603,0.627063,0.679923,0.704519,0.700797,0.671023,0.619317,0.551202,0.4733,0.3932,0.319402,0.261138,0.2279,0.228529,0.269906,0.355456,0.483797,0.647929,0.835305,1.02893,1.20938,1.35751,1.45727,1.49809,1.47652,1.3966,1.26915,1.11,0.93761,0.770466,0.624732,0.512433,0.44039,0.409952,0.417428,0.455065,0.512346,0.577409,0.638375,0.684473,0.706861,0.699121,0.657474,0.58077,0.470341,0.329809,0.164871,-0.0169195,-0.206426,-0.393339,-0.566771,-0.716083,-0.831893,-0.907169,-0.938232,-0.925482,-0.873686,-0.791736,-0.691853,-0.588348,-0.496086,-0.428861,-0.397891,-0.410597,-0.469803,-0.573423,-0.714654,-0.882639,-1.06354,-1.24192,-1.40223,-1.53037,-1.61503,-1.64866,-1.62815,-1.55493,-1.43464,-1.27656,-1.09266,-0.896641,-0.70289,-0.525468,-0.377094,-0.26813,-0.205585,-0.192201,-0.225784,-0.298933,-0.399388,-0.511084,-0.615917,-0.696027,-0.736271,-0.726457,-0.662911,-0.549035,-0.394748,-0.214883
51.5352,0.996835,0.448786,4,15,0,0.908613,0.0772718,0.0677615,0.335791,0.448353,0.547879,0.627703,0.682748,0.709947,0.708447,0.679625,0.62698,0.555962,0.473774,0.389109,0.311779,0.252121,0.220161,0.224503,0.271071,0.361892,0.494161,0.659866,0.84615,1.03648,1.21254,1.35651,1.45353,1.49378,1.47384,1.39718,1.27362,1.1179,0.947577,0.780661,0.633337,0.518088,0.44247,0.408633,0.41357,0.449971,0.507464,0.574042,0.637462,0.68644,0.71157,0.705911,0.665282,0.58832,0.476386,0.33337,0.165433,-0.0193033,-0.211159,-0.399431,-0.573082,-0.721597,-0.835943,-0.909554,-0.9392,-0.92559,-0.873598,-0.792016,-0.692829,-0.590068,-0.498368,-0.4314,-0.400377,-0.412804,-0.471626,-0.574877,-0.715847,-0.883754,-1.06483,-1.24371,-1.40491,-1.53432,-1.62052,-1.65575,-1.63654,-1.56389,-1.44316,-1.28348,-1.09699,-0.897877,-0.7012,-0.521736,-0.372727,-0.264693,-0.204351,-0.193773,-0.229905,-0.304579,-0.405126,-0.515578,-0.61841,-0.696618,-0.735841,-0.726239,-0.66378,-0.550752,-0.39537,-0.210577
50.7009,0.984982,0.448786,3,7,0,0.726655,0.0609042,0.0577744,0.306412,0.443981,0.561559,0.649201,0.701523,0.718207,0.703317,0.663724,0.607188,0.540781,0.470144,0.399776,0.334117,0.278846,0.241693,0.232206,0.260253,0.333546,0.454863,0.619853,0.816232,1.0248,1.2222,1.38484,1.49308,1.53462,1.50644,1.41485,1.27395,1.10279,0.92215,0.751491,0.606638,0.498368,0.431908,0.407175,0.419497,0.460647,0.520021,0.585865,0.646477,0.691295,0.71176,0.701872,0.658392,0.58072,0.47055,0.331478,0.168695,-0.01114,-0.199915,-0.388092,-0.56498,-0.719409,-0.840846,-0.920835,-0.954453,-0.941437,-0.886666,-0.799827,-0.694319,-0.585609,-0.489364,-0.419682,-0.387655,-0.400381,-0.460412,-0.565604,-0.709285,-0.880761,-1.06614,-1.24951,-1.4145,-1.54594,-1.63161,-1.66359,-1.63918,-1.56094,-1.43611,-1.27539,-1.09153,-0.897927,-0.707619,-0.532651,-0.383805,-0.270387,-0.19983,-0.176905,-0.202585,-0.27283,-0.377744,-0.501609,-0.624154,-0.723091,-0.77759,-0.771994,-0.698927,-0.560994,-0.3706,-0.147861
50.2039,0.968721,0.448786,2,3,0,0.75678,0.063467,0.0553424,0.295521,0.441883,0.566608,0.657932,0.70978,0.722498,0.701941,0.657269,0.598221,0.532828,0.466349,0.401709,0.341178,0.288474,0.250296,0.236474,0.258363,0.325827,0.44368,0.608759,0.808715,1.02308,1.22654,1.39355,1.50321,1.54304,1.51091,1.41466,1.26993,1.09681,0.916295,0.747336,0.604787,0.498463,0.432999,0.408243,0.419907,0.460348,0.519444,0.585612,0.646957,0.692485,0.713196,0.702872,0.658401,0.579617,0.468766,0.329851,0.168118,-0.0101432,-0.197473,-0.385004,-0.562426,-0.71847,-0.842047,-0.9239,-0.958401,-0.944966,-0.888666,-0.799801,-0.692531,-0.582915,-0.486807,-0.418042,-0.387147,-0.400614,-0.460627,-0.565059,-0.707643,-0.878283,-1.06363,-1.24801,-1.41482,-1.5483,-1.63543,-1.66769,-1.6421,-1.56155,-1.43403,-1.27127,-1.08683,-0.894428,-0.70676,-0.534918,-0.388442,-0.275569,-0.203262,-0.17668,-0.197983,-0.264758,-0.368598,-0.494553,-0.62201,-0.727226,-0.787206,-0.78412,-0.709179,-0.564889,-0.365001,-0.132088
